RT Exercise,Bench Press,Bicep Curls,Calf Raises,Chest Fly,Crunches,DB Row,Deadlift,Deltoid Raise,Dips,Face Pull,Kickback,Lat Pulldown,Lateral Raise,Leg Curl,Leg Extension,Leg Press,Leg Raise,Lunges,Planks,Pull-up,Push-ups,Reverse Fly,Rowing,Russian Twists,Shoulder Press,Sit-ups,Squat,Step Ups,Tricep Extension,True Positive ,Total
Bench Press,252,1,,1,3,2,9,,,,,1,,,,,,3,1,,1,,,,1,5,3,,,0.890459364,283
Bicep Curls,1,206,3,4,,3,2,,,,,1,2,,,3,,8,,6,,,5,,7,,5,,3,0.795366795,259
Calf Raises,,5,124,,,,3,3,,,1,,3,1,,5,,7,,1,,,1,,,,3,,,0.789808917,157
Chest Fly,,12,1,37,,,2,,,1,,1,1,,,1,,1,,,,,1,,,,,,1,0.627118644,59
Crunches,5,,,,120,1,5,,,,,1,1,1,,1,1,2,,,2,,1,,,1,1,,,0.839160839,143
DB Row,13,2,1,1,2,77,12,1,,,1,1,,,,1,,3,2,,4,,1,,,,1,,,0.62601626,123
Deadlift,6,5,2,1,6,6,156,2,,,,1,,,,1,,12,1,4,1,,2,,4,1,10,1,,0.702702703,222
Deltoid Raise,1,1,5,,1,2,4,68,,,2,,1,,,1,,,2,,,,6,,2,1,2,,,0.686868687,99
Dips,,,3,,,,1,,7,,,,,,,,,3,,,,,,,,,1,1,,0.4375,16
Face Pull,,,,3,,1,1,,,3,,,,,,,,2,1,,1,1,,,,,,,,0.230769231,13
Kickback,,1,,,,1,4,,,,16,,,,,,8,4,,,,,,,1,,1,,,0.444444444,36
Lat Pulldown,1,2,5,,,1,,,,,,70,1,,,,,7,,1,,,,,,,,,2,0.777777778,90
Lateral Raise,1,10,8,1,,,2,1,,,,,48,,1,,,,,2,,,3,,1,,1,1,,0.6,80
Leg Curl,4,3,3,,1,3,7,2,,,1,,1,61,,,1,3,,,,,,,,,,,,0.677777778,90
Leg Extension,,,1,,,,,1,,,,,,,15,1,,,,,,,,,,,,,1,0.789473684,19
Leg Press,,1,3,4,5,,6,,,,,,,,,176,,,,3,,,1,,1,2,1,,,0.866995074,203
Leg Raise,1,1,,,2,5,9,,,,,2,1,,,1,41,2,2,1,1,,,,1,,1,,,0.577464789,71
Lunges,,1,2,1,,2,15,1,,,,2,1,,,,,159,,1,1,,1,,2,,12,1,,0.787128713,202
Planks,2,,,,,3,1,,,,,,,,,,2,,79,,3,,,2,,,,,,0.858695652,92
Pull-up,,1,8,,,,2,,,,,2,1,1,,,1,6,,89,,,3,,4,,8,1,2,0.689922481,129
Push-ups,3,3,2,,1,4,2,,,,,8,,,,1,,1,7,2,75,,2,,,,,1,1,0.663716814,113
Reverse Fly,,,,,,1,4,1,,2,,,,,1,,,1,,,,3,,,1,,1,,1,0.1875,16
Rowing,,4,5,,,2,5,1,,,,9,1,,,,,4,,,,,118,,1,,2,1,,0.77124183,153
Russian Twists,1,,,,,1,1,1,,,,,,,,,,,1,,1,,,13,,,,,,0.684210526,19
Shoulder Press,,8,5,,,,6,4,,1,1,,1,,,5,,7,,4,,,1,,72,,1,,,0.620689655,116
Sit-ups,11,,1,,1,3,2,,,,,,,,,1,,,,,,,,,,56,,,,0.746666667,75
Squat,,3,2,,1,,7,,,,,2,,1,,2,,8,,5,,,2,,2,,178,5,3,0.805429864,221
Step Ups,,,1,1,,1,5,,,,,,,,,,,4,,,,,,,,,6,61,,0.772151899,79
Tricep Extension,5,8,3,1,,,8,,,,,3,,1,,2,,4,2,,,,,,,,,,139,0.789772727,176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354
